date,coin,classification,price_dip_pct,backtest_price_dip_pct,action
2025-07-01,BTC,Negative,0.8517903079046423,-1.5336764368245361,Sell or Hold
2025-07-01,ETH,Positive,0.8620118804167927,-3.0153936463554953,Hold / Monitor
2025-07-02,BTC,Negative,-1.5336764368245361,0.28960406449882836,Hold / Monitor
2025-07-02,ETH,Positive,-3.0153936463554953,0.2508660852944581,Buy
2025-07-03,BTC,Neutral,0.28960406449882836,0.8834287825604972,Hold / Monitor
2025-07-03,ETH,Neutral,0.2508660852944581,2.065061963775033,Hold / Monitor
2025-07-04,BTC,Negative,0.8834287825604972,-0.9158697777989376,Sell or Hold
2025-07-04,ETH,Positive,2.065061963775033,-0.9460653255966884,Hold / Monitor
2025-07-05,BTC,Positive,-0.9158697777989376,0.7137661191327166,Buy
2025-07-06,BTC,Neutral,0.7137661191327166,2.281552012858605,Hold / Monitor
2025-07-06,ETH,Positive,2.792620065375908,5.731244935712203,Hold / Monitor
2025-07-07,BTC,Neutral,2.281552012858605,4.093145055813328,Hold / Monitor
2025-07-07,ETH,Neutral,5.731244935712203,6.718697470637785,Hold / Monitor
2025-07-08,BTC,Neutral,4.093145055813328,1.1965821541219301,Hold / Monitor
2025-07-08,ETH,Neutral,6.718697470637785,0.23271017590450047,Hold / Monitor
2025-07-09,BTC,Neutral,1.1965821541219301,-0.028187847563191083,Hold / Monitor
2025-07-09,ETH,Positive,0.23271017590450047,-0.6279063480047559,Hold / Monitor
2025-07-10,BTC,Neutral,-0.028187847563191083,1.4527053013802607,Hold / Monitor
2025-07-10,ETH,Neutral,-0.6279063480047559,1.1192126401991476,Hold / Monitor
2025-07-11,BTC,Neutral,1.4527053013802607,0.6549353952185983,Hold / Monitor
2025-07-11,ETH,Positive,1.1192126401991476,1.324086810588655,Hold / Monitor
2025-07-12,BTC,Positive,0.6549353952185983,-1.833818976651333,Hold / Monitor
2025-07-12,ETH,Positive,1.324086810588655,4.25061571858177,Hold / Monitor
2025-07-13,BTC,Negative,-1.833818976651333,0.7690148650884523,Hold / Monitor
2025-07-13,ETH,Negative,4.25061571858177,7.326795720835452,Sell or Hold
2025-07-14,BTC,Positive,0.7690148650884523,0.5164378990636354,Hold / Monitor
2025-07-14,ETH,Neutral,7.326795720835452,2.966845846237815,Hold / Monitor
2025-07-15,BTC,Negative,0.5164378990636354,-1.1009596399531827,Hold / Monitor
2025-07-15,ETH,Positive,2.966845846237815,2.2210185742726054,Hold / Monitor
2025-07-16,BTC,Neutral,-1.1009596399531827,-0.07592960322264777,Hold / Monitor
2025-07-16,ETH,Positive,2.2210185742726054,1.238155365527811,Hold / Monitor
2025-07-17,BTC,Negative,-0.07592960322264777,-0.4780213250025438,Hold / Monitor
2025-07-17,ETH,Neutral,1.238155365527811,4.683806845863674,Hold / Monitor
2025-07-18,BTC,Positive,-0.4780213250025438,0.2115446933800415,Hold / Monitor
2025-07-18,ETH,Positive,4.683806845863674,0.18562891768767054,Hold / Monitor
2025-07-19,BTC,Neutral,0.2115446933800415,2.1439227871149424,Hold / Monitor
2025-07-19,ETH,Positive,0.18562891768767054,-0.4586997666683532,Hold / Monitor
2025-07-20,BTC,Positive,2.1439227871149424,-1.1489370673788033,Hold / Monitor
2025-07-20,ETH,Neutral,-0.4586997666683532,-3.3558317710652763,Hold / Monitor
2025-07-21,BTC,Negative,-1.1489370673788033,-0.25194550470831956,Hold / Monitor
2025-07-21,ETH,Positive,-3.3558317710652763,2.2485892854679097,Buy
2025-07-22,BTC,Negative,-0.25194550470831956,-0.6293249025561889,Hold / Monitor
2025-07-22,ETH,Neutral,2.2485892854679097,0.4155939485203261,Hold / Monitor
2025-07-23,BTC,Neutral,-0.6293249025561889,0.23184727677258202,Hold / Monitor
2025-07-23,ETH,Neutral,0.4155939485203261,0.5297048595247447,Hold / Monitor
2025-07-24,BTC,Negative,0.23184727677258202,1.3115570640644871,Hold / Monitor
2025-07-24,ETH,Positive,0.5297048595247447,3.547244462860734,Hold / Monitor
2025-07-25,BTC,Negative,1.3115570640644871,-1.1014888563379264,Sell or Hold
2025-07-25,ETH,Positive,3.547244462860734,-2.0279655284586475,Hold / Monitor

